date,county,cases,deaths
2020-03-24,Clinton,3,0
2020-03-24,Detroit,152,2
2020-03-24,Eaton,1,0
2020-03-24,Emmet,1,0
2020-03-24,Genesee,11,0
2020-03-24,Gladwin,1,0
2020-03-24,Grand Traverse,2,0
2020-03-24,Hillsdale,1,0
2020-03-24,Ingham,3,0
2020-03-24,Isabella,2,0
2020-03-24,Jackson,5,0
2020-03-24,Kalkaska,1,0
2020-03-24,Kent,3,0
2020-03-24,Lapeer,1,0
2020-03-24,Livingston,4,0
2020-03-24,Macomb,50,1
2020-03-24,Manistee,1,0
2020-03-24,Monroe,5,0
2020-03-24,Muskegon,2,0
2020-03-24,Newaygo,1,0
2020-03-24,Non-MI,2,0
2020-03-24,Oakland,99,0
2020-03-24,Otsego,2,0
2020-03-24,Ottawa,4,0
2020-03-24,Saginaw,6,0
2020-03-24,St. Clair,1,0
2020-03-24,Unknown,2,0
2020-03-24,Washtenaw,8,3
2020-03-24,Wayne,83,3
2020-03-25,Bay,1,0
2020-03-25,Berrien,2,0
2020-03-25,Calhoun,2,0
2020-03-25,Charlevoix,1,0
2020-03-25,Clinton,1,0
2020-03-25,Detroit,142,4
2020-03-25,Genesee,13,0
2020-03-25,Hillsdale,1,0
2020-03-25,Ingham,3,0
2020-03-25,Iosco,1,0
2020-03-25,Jackson,6,0
2020-03-25,Kalamazoo,2,0
2020-03-25,Kalkaska,1,0
2020-03-25,Kent,5,0
2020-03-25,Lenawee,3,0
2020-03-25,Livingston,3,1
2020-03-25,Luce,1,0
2020-03-25,Macomb,56,4
2020-03-25,Marquette,1,0
2020-03-25,Midland,1,0
2020-03-25,Monroe,6,0
2020-03-25,Montcalm,1,0
2020-03-25,Non-MI,1,0
2020-03-25,Oakland,115,6
2020-03-25,Otsego,1,0
2020-03-25,Ottawa,1,0
2020-03-25,Saginaw,1,0
2020-03-25,Sanilac,1,0
2020-03-25,St. Clair,2,0
2020-03-25,Tuscola,1,0
2020-03-25,Van Buren,2,0
2020-03-25,Washtenaw,22,0
2020-03-25,Wayne,107,4
2020-03-26,Bay,1,0
2020-03-26,Berrien,1,0
2020-03-26,Calhoun,1,0
2020-03-26,Cass,1,0
2020-03-26,Clinton,1,0
2020-03-26,Detroit,146,3
2020-03-26,Eaton,1,0
2020-03-26,Genesee,17,1
2020-03-26,Hillsdale,3,0
2020-03-26,Ingham,4,0
2020-03-26,Ionia,2,0
2020-03-26,Isabella,1,0
2020-03-26,Jackson,5,0
2020-03-26,Kalamazoo,5,0
2020-03-26,Kent,5,0
2020-03-26,Lapeer,2,0
2020-03-26,Lenawee,2,0
2020-03-26,Livingston,5,0
2020-03-26,Macomb,66,4
2020-03-26,Mecosta,1,1
2020-03-26,Missaukee,1,0
2020-03-26,Monroe,3,0
2020-03-26,Montcalm,1,0
2020-03-26,Oakland,125,5
2020-03-26,Oceana,1,0
2020-03-26,Ogema,1,0
2020-03-26,Otsego,1,0
2020-03-26,Ottawa,2,0
2020-03-26,Saginaw,1,0
2020-03-26,Shiawassee,1,0
2020-03-26,St. Clair,3,0
2020-03-26,Unknown,13,0
2020-03-26,Washtenaw,20,0
2020-03-26,Wayne,121,2
2020-03-26,Tuscola,0,1
